ID, block, element ID, linked transaction ID, initial clock value, final clock value, duration, attributes, actions
0, CA, 118, -1, 0, 0, 0, 0 0 50 , null
1, CA, 145, -1, 0, 0, 0, 0 0 50 , null
2, CA, 119, -1, 0, 0, 0, 0 0 50 , null
3, CA, 154, -1, 0, 0, 0, 0 0 50 , null
4, CA, 120, -1, 0, 0, 0, 0 45 50 , action#0: distance = 45 
5, CA, 155, -1, 0, 0, 0, 0 45 50 , null
6, CA, 121, -1, 0, 0, 0, 0 45 50 , null
7, CA, 139, -1, 0, 0, 0, 0 45 50 , action#0: speed = 0 
8, CA, 119, -1, 0, 0, 0, 0 45 50 , null
9, CA, 154, -1, 0, 0, 0, 0 45 50 , null
10, CA, 120, -1, 0, 0, 0, 0 46 50 , action#0: distance = 46 
11, CA, 155, -1, 0, 0, 0, 0 46 50 , null
12, CA, 121, -1, 0, 0, 0, 0 46 50 , null
13, CA, 139, -1, 0, 0, 0, 0 46 50 , action#0: speed = 0 
14, CA, 119, -1, 0, 0, 0, 0 46 50 , null
15, CA, 154, -1, 0, 0, 0, 0 46 50 , null
16, CA, 120, -1, 0, 0, 0, 0 48 50 , action#0: distance = 48 
17, CA, 155, -1, 0, 0, 0, 0 48 50 , null
18, CA, 121, -1, 0, 0, 0, 0 48 50 , null
19, CA, 139, -1, 0, 0, 0, 0 48 50 , action#0: speed = 0 
20, CA, 119, -1, 0, 0, 0, 0 48 50 , null
21, CA, 154, -1, 0, 0, 0, 0 48 50 , null
22, CA, 120, -1, 0, 0, 0, 0 52 50 , action#0: distance = 52 
23, CA, 155, -1, 0, 0, 0, 0 52 50 , null
24, CA, 121, -1, 0, 0, 0, 0 52 50 , null
25, CA, 146, -1, 0, 0, 0, 30 52 50 , action#0: speed = 30 
26, CA, 122, -1, 0, 0, 0, 30 52 50 , null
27, CA, 152, -1, 0, 0, 0, 30 52 50 , null
28, CA, 123, -1, 0, 0, 0, 30 49 50 , action#0: distance = 49 
29, CA, 153, -1, 0, 0, 0, 30 49 50 , null
30, CA, 124, -1, 0, 0, 0, 30 49 50 , null
31, CA, 125, -1, 0, 0, 0, 0 49 50 , action#0: speed = 0 
32, CA, 119, -1, 0, 0, 0, 0 49 50 , null
33, CA, 154, -1, 0, 0, 0, 0 49 50 , null
34, CA, 120, -1, 0, 0, 0, 0 48 50 , action#0: distance = 48 
35, CA, 155, -1, 0, 0, 0, 0 48 50 , null
36, CA, 121, -1, 0, 0, 0, 0 48 50 , null
37, CA, 139, -1, 0, 0, 0, 0 48 50 , action#0: speed = 0 
38, CA, 119, -1, 0, 0, 0, 0 48 50 , null
39, CA, 154, -1, 0, 0, 0, 0 48 50 , null
40, CA, 120, -1, 0, 0, 0, 0 52 50 , action#0: distance = 52 
41, CA, 155, -1, 0, 0, 0, 0 52 50 , null
42, CA, 121, -1, 0, 0, 0, 0 52 50 , null
43, CA, 146, -1, 0, 0, 0, 30 52 50 , action#0: speed = 30 
44, CA, 122, -1, 0, 0, 0, 30 52 50 , null
45, CA, 152, -1, 0, 0, 0, 30 52 50 , null
46, CA, 123, -1, 0, 0, 0, 30 50 50 , action#0: distance = 50 
47, CA, 153, -1, 0, 0, 0, 30 50 50 , null
48, CA, 124, -1, 0, 0, 0, 30 50 50 , null
49, CA, 125, -1, 0, 0, 0, 0 50 50 , action#0: speed = 0 
50, CA, 119, -1, 0, 0, 0, 0 50 50 , null
51, CA, 154, -1, 0, 0, 0, 0 50 50 , null
52, CA, 120, -1, 0, 0, 0, 0 49 50 , action#0: distance = 49 
53, CA, 155, -1, 0, 0, 0, 0 49 50 , null
54, CA, 121, -1, 0, 0, 0, 0 49 50 , null
55, CA, 139, -1, 0, 0, 0, 0 49 50 , action#0: speed = 0 
56, CA, 119, -1, 0, 0, 0, 0 49 50 , null
57, CA, 154, -1, 0, 0, 0, 0 49 50 , null
58, CA, 120, -1, 0, 0, 0, 0 45 50 , action#0: distance = 45 
59, CA, 155, -1, 0, 0, 0, 0 45 50 , null
60, CA, 121, -1, 0, 0, 0, 0 45 50 , null
61, CA, 139, -1, 0, 0, 0, 0 45 50 , action#0: speed = 0 
62, CA, 119, -1, 0, 0, 0, 0 45 50 , null
63, CA, 154, -1, 0, 0, 0, 0 45 50 , null
64, CA, 120, -1, 0, 0, 0, 0 46 50 , action#0: distance = 46 
65, CA, 155, -1, 0, 0, 0, 0 46 50 , null
66, CA, 121, -1, 0, 0, 0, 0 46 50 , null
67, CA, 139, -1, 0, 0, 0, 0 46 50 , action#0: speed = 0 
68, CA, 119, -1, 0, 0, 0, 0 46 50 , null
69, CA, 154, -1, 0, 0, 0, 0 46 50 , null
70, CA, 120, -1, 0, 0, 0, 0 49 50 , action#0: distance = 49 
71, CA, 155, -1, 0, 0, 0, 0 49 50 , null
72, CA, 121, -1, 0, 0, 0, 0 49 50 , null
73, CA, 139, -1, 0, 0, 0, 0 49 50 , action#0: speed = 0 
74, CA, 119, -1, 0, 0, 0, 0 49 50 , null
75, CA, 154, -1, 0, 0, 0, 0 49 50 , null
76, CA, 120, -1, 0, 0, 0, 0 50 50 , action#0: distance = 50 
77, CA, 155, -1, 0, 0, 0, 0 50 50 , null
